,date,HH,hab,district,location,device_type,variable,mean_of_medians,qa_flag,da_flag
12,2021-10-27,01001D,MVL,NP,Outdoor,Atmos,pm2.5,57.78260869565217,0.0,2.0
14,2021-10-27,01001D,MVL,NP,Outdoor,Atmos,rh,45.5858695652174,0.0,2.0
15,2021-10-27,01001D,MVL,NP,Outdoor,Atmos,temp,37.80217391304348,0.0,2.0
36,2021-10-27,01010D,MVL,NP,Outdoor,Atmos,pm2.5,47.18055555555556,0.0,2.0
38,2021-10-27,01010D,MVL,NP,Outdoor,Atmos,rh,47.733333333333334,0.0,2.0
39,2021-10-27,01010D,MVL,NP,Outdoor,Atmos,temp,37.71944444444445,0.0,2.0
52,2021-10-27,01049D,MVL,NP,Outdoor,Atmos,pm2.5,51.473684210526315,0.0,2.0
66,2021-10-27,01061D,MVL,NP,Outdoor,Atmos,pm2.5,67.80555555555556,0.0,2.0
68,2021-10-27,01061D,MVL,NP,Outdoor,Atmos,rh,46.80555555555556,0.0,2.0
69,2021-10-27,01061D,MVL,NP,Outdoor,Atmos,temp,37.452777777777776,0.0,2.0
82,2021-10-28,01001D,MVL,NP,Outdoor,Atmos,pm2.5,68.48958333333333,0.0,0.0
84,2021-10-28,01001D,MVL,NP,Outdoor,Atmos,rh,55.98020833333334,0.0,0.0
85,2021-10-28,01001D,MVL,NP,Outdoor,Atmos,temp,34.15208333333334,0.0,0.0
106,2021-10-28,01010D,MVL,NP,Outdoor,Atmos,pm2.5,60.604166666666664,0.0,0.0
108,2021-10-28,01010D,MVL,NP,Outdoor,Atmos,rh,60.87083333333334,0.0,0.0
109,2021-10-28,01010D,MVL,NP,Outdoor,Atmos,temp,33.25625,0.0,0.0
122,2021-10-28,01027D,MVL,NP,Outdoor,Atmos,pm2.5,58.630434782608695,0.0,1.0
124,2021-10-28,01027D,MVL,NP,Outdoor,Atmos,rh,62.56521739130435,4.0,1.0
125,2021-10-28,01027D,MVL,NP,Outdoor,Atmos,temp,36.31304347826087,0.0,1.0
138,2021-10-28,01035D,MVL,NP,Outdoor,Atmos,pm2.5,62.08695652173913,0.0,2.0
140,2021-10-28,01035D,MVL,NP,Outdoor,Atmos,rh,51.334782608695654,0.0,2.0
141,2021-10-28,01035D,MVL,NP,Outdoor,Atmos,temp,35.75978260869565,0.0,2.0
154,2021-10-28,01042D,MVL,NP,Outdoor,Atmos,pm2.5,59.81818181818182,0.0,2.0
168,2021-10-28,01049D,MVL,NP,Outdoor,Atmos,pm2.5,61.291666666666664,0.0,0.0
182,2021-10-28,01061D,MVL,NP,Outdoor,Atmos,pm2.5,95.32291666666667,0.0,0.0
184,2021-10-28,01061D,MVL,NP,Outdoor,Atmos,rh,63.04583333333334,0.0,0.0
185,2021-10-28,01061D,MVL,NP,Outdoor,Atmos,temp,33.640625,0.0,0.0
198,2021-10-29,01001D,MVL,NP,Outdoor,Atmos,pm2.5,41.854166666666664,0.0,0.0
200,2021-10-29,01001D,MVL,NP,Outdoor,Atmos,rh,63.37604166666667,0.0,0.0
201,2021-10-29,01001D,MVL,NP,Outdoor,Atmos,temp,31.7375,0.0,0.0
214,2021-10-29,01005D,MVL,NP,Outdoor,Atmos,pm2.5,59.25,0.0,5.0
216,2021-10-29,01005D,MVL,NP,Outdoor,Atmos,rh,67.78928571428573,0.0,5.0
217,2021-10-29,01005D,MVL,NP,Outdoor,Atmos,temp,30.964285714285715,0.0,5.0
230,2021-10-29,01010D,MVL,NP,Outdoor,Atmos,pm2.5,37.875,0.0,0.0
232,2021-10-29,01010D,MVL,NP,Outdoor,Atmos,rh,69.04166666666667,0.0,0.0
233,2021-10-29,01010D,MVL,NP,Outdoor,Atmos,temp,30.8625,0.0,0.0
246,2021-10-29,01027D,MVL,NP,Outdoor,Atmos,pm2.5,41.75,0.0,0.0
248,2021-10-29,01027D,MVL,NP,Outdoor,Atmos,temp,31.631250000000005,0.0,0.0
261,2021-10-29,01035D,MVL,NP,Outdoor,Atmos,pm2.5,45.677083333333336,0.0,0.0
263,2021-10-29,01035D,MVL,NP,Outdoor,Atmos,rh,63.096875000000004,0.0,0.0
264,2021-10-29,01035D,MVL,NP,Outdoor,Atmos,temp,32.170833333333334,0.0,0.0
277,2021-10-29,01042D,MVL,NP,Outdoor,Atmos,pm2.5,43.614583333333336,0.0,0.0
279,2021-10-29,01042D,MVL,NP,Outdoor,Atmos,rh,56.84270833333334,3.0,2.0
280,2021-10-29,01042D,MVL,NP,Outdoor,Atmos,temp,27.259375000000002,3.0,2.0
293,2021-10-29,01049D,MVL,NP,Outdoor,Atmos,pm2.5,42.833333333333336,0.0,0.0
307,2021-10-29,01061D,MVL,NP,Outdoor,Atmos,pm2.5,59.875,0.0,0.0
309,2021-10-29,01061D,MVL,NP,Outdoor,Atmos,rh,71.78541666666668,1.0,0.0
310,2021-10-29,01061D,MVL,NP,Outdoor,Atmos,temp,31.565625,0.0,0.0
322,2021-10-30,01001D,MVL,NP,Outdoor,Atmos,rh,62.34583333333334,0.0,0.0
323,2021-10-30,01001D,MVL,NP,Outdoor,Atmos,temp,33.15416666666667,0.0,0.0
343,2021-10-30,01010D,MVL,NP,Outdoor,Atmos,rh,66.88541666666667,0.0,0.0
344,2021-10-30,01010D,MVL,NP,Outdoor,Atmos,temp,32.5,0.0,0.0
356,2021-10-30,01027D,MVL,NP,Outdoor,Atmos,pm2.5,12.041666666666666,5.0,5.0
358,2021-10-30,01027D,MVL,NP,Outdoor,Atmos,temp,35.39895833333333,0.0,1.0
371,2021-10-30,01035D,MVL,NP,Outdoor,Atmos,pm2.5,13.354166666666666,4.0,2.0
373,2021-10-30,01035D,MVL,NP,Outdoor,Atmos,rh,65.73541666666667,0.0,0.0
374,2021-10-30,01035D,MVL,NP,Outdoor,Atmos,temp,32.71041666666667,0.0,0.0
404,2021-10-30,01061D,MVL,NP,Outdoor,Atmos,rh,67.17604166666668,5.0,5.0
405,2021-10-30,01061D,MVL,NP,Outdoor,Atmos,temp,33.901041666666664,0.0,0.0
416,2021-10-31,01001D,MVL,NP,Outdoor,Atmos,rh,67.9375,0.0,0.0
417,2021-10-31,01001D,MVL,NP,Outdoor,Atmos,temp,30.69479166666667,0.0,0.0
432,2021-10-31,01010D,MVL,NP,Outdoor,Atmos,rh,73.34166666666667,0.0,0.0
433,2021-10-31,01010D,MVL,NP,Outdoor,Atmos,temp,30.07604166666667,0.0,0.0
443,2021-10-31,01027D,MVL,NP,Outdoor,Atmos,temp,33.64479166666667,0.0,0.0
454,2021-10-31,01035D,MVL,NP,Outdoor,Atmos,rh,71.49062500000001,1.0,1.0
455,2021-10-31,01035D,MVL,NP,Outdoor,Atmos,temp,30.588541666666668,0.0,0.0
470,2021-10-31,01061D,MVL,NP,Outdoor,Atmos,rh,77.378125,2.0,2.0
471,2021-10-31,01061D,MVL,NP,Outdoor,Atmos,temp,30.625,0.0,0.0
478,2021-11-01,01001D,MVL,NP,Outdoor,Atmos,rh,68.46875,0.0,1.0
479,2021-11-01,01001D,MVL,NP,Outdoor,Atmos,temp,31.89166666666667,0.0,1.0
496,2021-11-01,01010D,MVL,NP,Outdoor,Atmos,rh,69.38958333333333,0.0,0.0
497,2021-11-01,01010D,MVL,NP,Outdoor,Atmos,temp,31.778125000000003,0.0,0.0
508,2021-11-01,01027D,MVL,NP,Outdoor,Atmos,temp,35.74791666666667,0.0,0.0
513,2021-11-01,01035D,MVL,NP,Outdoor,Atmos,rh,70.23020833333334,0.0,0.0
514,2021-11-01,01035D,MVL,NP,Outdoor,Atmos,temp,31.661458333333332,0.0,0.0
533,2021-11-01,01061D,MVL,NP,Outdoor,Atmos,rh,68.89375,0.0,0.0
534,2021-11-01,01061D,MVL,NP,Outdoor,Atmos,temp,33.47708333333333,0.0,0.0
541,2021-11-02,01001D,MVL,NP,Outdoor,Atmos,rh,69.2423076923077,3.0,3.0
542,2021-11-02,01001D,MVL,NP,Outdoor,Atmos,temp,33.9923076923077,0.0,2.0
557,2021-11-02,01010D,MVL,NP,Outdoor,Atmos,rh,74.290625,0.0,0.0
558,2021-11-02,01010D,MVL,NP,Outdoor,Atmos,temp,30.53125,0.0,0.0
569,2021-11-02,01027D,MVL,NP,Outdoor,Atmos,rh,73.71041666666667,5.0,4.0
570,2021-11-02,01027D,MVL,NP,Outdoor,Atmos,temp,35.50833333333333,0.0,1.0
591,2021-11-02,01061D,MVL,NP,Outdoor,Atmos,rh,71.24062500000001,2.0,2.0
592,2021-11-02,01061D,MVL,NP,Outdoor,Atmos,temp,32.925000000000004,0.0,0.0
599,2021-11-03,01001D,MVL,NP,Outdoor,Atmos,temp,30.420833333333334,0.0,0.0
614,2021-11-03,01010D,MVL,NP,Outdoor,Atmos,rh,68.62916666666668,0.0,0.0
615,2021-11-03,01010D,MVL,NP,Outdoor,Atmos,temp,31.370833333333337,0.0,0.0
630,2021-11-03,01027D,MVL,NP,Outdoor,Atmos,temp,33.96979166666667,0.0,0.0
635,2021-11-03,01035D,MVL,NP,Outdoor,Atmos,rh,68.26875,0.0,0.0
636,2021-11-03,01035D,MVL,NP,Outdoor,Atmos,temp,31.64791666666667,0.0,0.0
659,2021-11-03,01061D,MVL,NP,Outdoor,Atmos,rh,72.93958333333335,0.0,0.0
660,2021-11-03,01061D,MVL,NP,Outdoor,Atmos,temp,31.61666666666667,0.0,0.0
673,2021-11-04,01001D,MVL,NP,Outdoor,Atmos,pm2.5,26.96875,0.0,0.0
675,2021-11-04,01001D,MVL,NP,Outdoor,Atmos,rh,73.41666666666667,2.0,0.0
676,2021-11-04,01001D,MVL,NP,Outdoor,Atmos,temp,32.58958333333334,0.0,0.0
705,2021-11-04,01016D,MVL,NP,Outdoor,Atmos,pm2.5,27.75,0.0,2.0
707,2021-11-04,01016D,MVL,NP,Outdoor,Atmos,rh,44.0375,0.0,2.0
708,2021-11-04,01016D,MVL,NP,Outdoor,Atmos,temp,40.06666666666667,0.0,2.0
721,2021-11-04,01027D,MVL,NP,Outdoor,Atmos,pm2.5,30.34375,0.0,0.0
723,2021-11-04,01027D,MVL,NP,Outdoor,Atmos,rh,69.36770833333334,2.0,0.0
724,2021-11-04,01027D,MVL,NP,Outdoor,Atmos,temp,36.22083333333334,0.0,0.0
735,2021-11-04,01035D,MVL,NP,Outdoor,Atmos,pm2.5,32.541666666666664,0.0,0.0
737,2021-11-04,01035D,MVL,NP,Outdoor,Atmos,rh,63.21666666666667,0.0,0.0
738,2021-11-04,01035D,MVL,NP,Outdoor,Atmos,temp,33.40416666666667,0.0,0.0
751,2021-11-04,01042D,MVL,NP,Outdoor,Atmos,pm2.5,26.760416666666668,0.0,0.0
765,2021-11-04,01049D,MVL,NP,Outdoor,Atmos,pm2.5,33.385416666666664,0.0,0.0
779,2021-11-04,01061D,MVL,NP,Outdoor,Atmos,pm2.5,32.3125,0.0,0.0
781,2021-11-04,01061D,MVL,NP,Outdoor,Atmos,rh,63.925000000000004,0.0,0.0
782,2021-11-04,01061D,MVL,NP,Outdoor,Atmos,temp,33.96875,0.0,0.0
795,2021-11-05,01001D,MVL,NP,Outdoor,Atmos,pm2.5,31.25,0.0,0.0
797,2021-11-05,01001D,MVL,NP,Outdoor,Atmos,rh,68.2125,2.0,2.0
798,2021-11-05,01001D,MVL,NP,Outdoor,Atmos,temp,34.11041666666667,0.0,0.0
819,2021-11-05,01010D,MVL,NP,Outdoor,Atmos,pm2.5,25.104166666666668,0.0,0.0
821,2021-11-05,01010D,MVL,NP,Outdoor,Atmos,rh,55.804166666666674,0.0,0.0
822,2021-11-05,01010D,MVL,NP,Outdoor,Atmos,temp,35.99375,0.0,0.0
843,2021-11-05,01027D,MVL,NP,Outdoor,Atmos,pm2.5,28.84375,0.0,0.0
845,2021-11-05,01027D,MVL,NP,Outdoor,Atmos,rh,57.197916666666664,0.0,0.0
846,2021-11-05,01027D,MVL,NP,Outdoor,Atmos,temp,38.518750000000004,0.0,0.0
857,2021-11-05,01035D,MVL,NP,Outdoor,Atmos,pm2.5,32.6875,0.0,0.0
859,2021-11-05,01035D,MVL,NP,Outdoor,Atmos,rh,58.75,0.0,0.0
860,2021-11-05,01035D,MVL,NP,Outdoor,Atmos,temp,35.175000000000004,0.0,0.0
873,2021-11-05,01042D,MVL,NP,Outdoor,Atmos,pm2.5,28.40625,0.0,0.0
887,2021-11-05,01049D,MVL,NP,Outdoor,Atmos,pm2.5,27.385416666666668,0.0,0.0
901,2021-11-05,01061D,MVL,NP,Outdoor,Atmos,pm2.5,35.916666666666664,0.0,0.0
903,2021-11-05,01061D,MVL,NP,Outdoor,Atmos,rh,56.984375,0.0,0.0
904,2021-11-05,01061D,MVL,NP,Outdoor,Atmos,temp,36.15625,0.0,0.0
917,2021-11-06,01001D,MVL,NP,Outdoor,Atmos,pm2.5,13.604166666666666,0.0,0.0
919,2021-11-06,01001D,MVL,NP,Outdoor,Atmos,temp,31.693749999999998,0.0,0.0
940,2021-11-06,01010D,MVL,NP,Outdoor,Atmos,pm2.5,10.270833333333334,0.0,0.0
942,2021-11-06,01010D,MVL,NP,Outdoor,Atmos,rh,62.612500000000004,0.0,0.0
943,2021-11-06,01010D,MVL,NP,Outdoor,Atmos,temp,33.088541666666664,0.0,0.0
956,2021-11-06,01016D,MVL,NP,Outdoor,Atmos,pm2.5,14.23913043478261,0.0,2.0
958,2021-11-06,01016D,MVL,NP,Outdoor,Atmos,rh,52.55108695652175,0.0,2.0
959,2021-11-06,01016D,MVL,NP,Outdoor,Atmos,temp,36.013043478260876,0.0,2.0
972,2021-11-06,01027D,MVL,NP,Outdoor,Atmos,pm2.5,16.6875,0.0,0.0
974,2021-11-06,01027D,MVL,NP,Outdoor,Atmos,rh,68.82083333333334,1.0,0.0
975,2021-11-06,01027D,MVL,NP,Outdoor,Atmos,temp,35.50833333333333,0.0,0.0
986,2021-11-06,01035D,MVL,NP,Outdoor,Atmos,pm2.5,16.21875,0.0,0.0
988,2021-11-06,01035D,MVL,NP,Outdoor,Atmos,rh,61.259375000000006,0.0,0.0
989,2021-11-06,01035D,MVL,NP,Outdoor,Atmos,temp,33.72291666666667,0.0,0.0
1002,2021-11-06,01042D,MVL,NP,Outdoor,Atmos,pm2.5,13.729166666666666,0.0,0.0
1016,2021-11-06,01049D,MVL,NP,Outdoor,Atmos,pm2.5,14.447916666666666,0.0,0.0
1030,2021-11-06,01061D,MVL,NP,Outdoor,Atmos,pm2.5,16.427083333333332,0.0,0.0
1032,2021-11-06,01061D,MVL,NP,Outdoor,Atmos,rh,64.24062500000001,0.0,0.0
1033,2021-11-06,01061D,MVL,NP,Outdoor,Atmos,temp,33.459375,0.0,0.0
1046,2021-11-07,01001D,MVL,NP,Outdoor,Atmos,pm2.5,15.041666666666666,1.0,1.0
1048,2021-11-07,01001D,MVL,NP,Outdoor,Atmos,temp,29.197916666666668,0.0,0.0
1069,2021-11-07,01010D,MVL,NP,Outdoor,Atmos,pm2.5,10.208333333333334,3.0,2.0
1071,2021-11-07,01010D,MVL,NP,Outdoor,Atmos,rh,65.99895833333333,0.0,0.0
1072,2021-11-07,01010D,MVL,NP,Outdoor,Atmos,temp,31.536458333333332,0.0,0.0
1093,2021-11-07,01027D,MVL,NP,Outdoor,Atmos,pm2.5,15.166666666666666,2.0,1.0
1095,2021-11-07,01027D,MVL,NP,Outdoor,Atmos,rh,78.69583333333334,4.0,2.0
1096,2021-11-07,01027D,MVL,NP,Outdoor,Atmos,temp,33.47083333333334,0.0,0.0
1107,2021-11-07,01035D,MVL,NP,Outdoor,Atmos,pm2.5,15.854166666666666,1.0,1.0
1109,2021-11-07,01035D,MVL,NP,Outdoor,Atmos,rh,63.518750000000004,0.0,0.0
1110,2021-11-07,01035D,MVL,NP,Outdoor,Atmos,temp,32.40833333333334,0.0,0.0
1123,2021-11-07,01042D,MVL,NP,Outdoor,Atmos,pm2.5,14.635416666666666,2.0,1.0
1137,2021-11-07,01049D,MVL,NP,Outdoor,Atmos,pm2.5,16.0,2.0,1.0
1151,2021-11-07,01061D,MVL,NP,Outdoor,Atmos,pm2.5,17.875,1.0,0.0
1153,2021-11-07,01061D,MVL,NP,Outdoor,Atmos,rh,70.703125,0.0,0.0
1154,2021-11-07,01061D,MVL,NP,Outdoor,Atmos,temp,31.420833333333334,0.0,0.0
1167,2021-11-08,01001D,MVL,NP,Outdoor,Atmos,pm2.5,40.927083333333336,0.0,0.0
1169,2021-11-08,01001D,MVL,NP,Outdoor,Atmos,temp,28.176041666666666,0.0,0.0
1190,2021-11-08,01010D,MVL,NP,Outdoor,Atmos,pm2.5,36.166666666666664,2.0,0.0
1192,2021-11-08,01010D,MVL,NP,Outdoor,Atmos,rh,74.6375,0.0,0.0
1193,2021-11-08,01010D,MVL,NP,Outdoor,Atmos,temp,28.887500000000003,0.0,0.0
1206,2021-11-08,01016D,MVL,NP,Outdoor,Atmos,pm2.5,43.357142857142854,0.0,5.0
1208,2021-11-08,01016D,MVL,NP,Outdoor,Atmos,rh,52.166666666666664,0.0,5.0
1209,2021-11-08,01016D,MVL,NP,Outdoor,Atmos,temp,35.32142857142857,0.0,5.0
1222,2021-11-08,01027D,MVL,NP,Outdoor,Atmos,pm2.5,37.708333333333336,0.0,0.0
1224,2021-11-08,01027D,MVL,NP,Outdoor,Atmos,temp,30.806250000000002,0.0,0.0
1235,2021-11-08,01035D,MVL,NP,Outdoor,Atmos,pm2.5,39.354166666666664,0.0,0.0
1237,2021-11-08,01035D,MVL,NP,Outdoor,Atmos,rh,67.165625,0.0,0.0
1238,2021-11-08,01035D,MVL,NP,Outdoor,Atmos,temp,30.748958333333334,0.0,0.0
1251,2021-11-08,01042D,MVL,NP,Outdoor,Atmos,pm2.5,40.75,0.0,0.0
1265,2021-11-08,01049D,MVL,NP,Outdoor,Atmos,pm2.5,34.989583333333336,0.0,0.0
1279,2021-11-08,01061D,MVL,NP,Outdoor,Atmos,pm2.5,58.34375,0.0,0.0
1281,2021-11-08,01061D,MVL,NP,Outdoor,Atmos,rh,75.67187500000001,1.0,0.0
1282,2021-11-08,01061D,MVL,NP,Outdoor,Atmos,temp,29.745833333333334,0.0,0.0
1295,2021-11-09,01001D,MVL,NP,Outdoor,Atmos,pm2.5,84.01041666666667,0.0,0.0
1297,2021-11-09,01001D,MVL,NP,Outdoor,Atmos,temp,26.298958333333335,0.0,0.0
1310,2021-11-09,01010D,MVL,NP,Outdoor,Atmos,pm2.5,64.875,0.0,0.0
1312,2021-11-09,01010D,MVL,NP,Outdoor,Atmos,rh,74.32083333333334,0.0,0.0
1313,2021-11-09,01010D,MVL,NP,Outdoor,Atmos,temp,28.329166666666666,0.0,0.0
1334,2021-11-09,01027D,MVL,NP,Outdoor,Atmos,pm2.5,66.08333333333333,0.0,0.0
1336,2021-11-09,01027D,MVL,NP,Outdoor,Atmos,temp,30.767708333333335,0.0,0.0
1347,2021-11-09,01035D,MVL,NP,Outdoor,Atmos,pm2.5,71.77083333333333,0.0,0.0
1349,2021-11-09,01035D,MVL,NP,Outdoor,Atmos,rh,67.4,0.0,0.0
1350,2021-11-09,01035D,MVL,NP,Outdoor,Atmos,temp,30.035416666666666,0.0,0.0
1363,2021-11-09,01042D,MVL,NP,Outdoor,Atmos,pm2.5,73.875,0.0,0.0
1377,2021-11-09,01049D,MVL,NP,Outdoor,Atmos,pm2.5,65.41666666666667,0.0,0.0
1391,2021-11-09,01061D,MVL,NP,Outdoor,Atmos,pm2.5,115.48958333333333,0.0,0.0
1393,2021-11-09,01061D,MVL,NP,Outdoor,Atmos,rh,79.93541666666667,1.0,0.0
1394,2021-11-09,01061D,MVL,NP,Outdoor,Atmos,temp,28.311458333333334,0.0,0.0
1407,2021-11-10,01001D,MVL,NP,Outdoor,Atmos,pm2.5,56.135416666666664,0.0,0.0
1409,2021-11-10,01001D,MVL,NP,Outdoor,Atmos,temp,26.83125,0.0,0.0
1430,2021-11-10,01010D,MVL,NP,Outdoor,Atmos,pm2.5,48.114583333333336,0.0,0.0
1432,2021-11-10,01010D,MVL,NP,Outdoor,Atmos,rh,70.503125,0.0,0.0
1433,2021-11-10,01010D,MVL,NP,Outdoor,Atmos,temp,28.43541666666667,0.0,0.0
1446,2021-11-10,01016D,MVL,NP,Outdoor,Atmos,pm2.5,55.864583333333336,0.0,4.0
1448,2021-11-10,01016D,MVL,NP,Outdoor,Atmos,rh,55.206250000000004,0.0,4.0
1449,2021-11-10,01016D,MVL,NP,Outdoor,Atmos,temp,32.70416666666667,0.0,4.0
1462,2021-11-10,01027D,MVL,NP,Outdoor,Atmos,pm2.5,51.30952380952381,0.0,2.0
1464,2021-11-10,01027D,MVL,NP,Outdoor,Atmos,temp,28.48333333333333,0.0,2.0
1475,2021-11-10,01035D,MVL,NP,Outdoor,Atmos,pm2.5,51.8125,0.0,0.0
1477,2021-11-10,01035D,MVL,NP,Outdoor,Atmos,rh,63.192708333333336,0.0,0.0
1478,2021-11-10,01035D,MVL,NP,Outdoor,Atmos,temp,30.402083333333337,0.0,0.0
1491,2021-11-10,01042D,MVL,NP,Outdoor,Atmos,pm2.5,52.583333333333336,0.0,0.0
1505,2021-11-10,01049D,MVL,NP,Outdoor,Atmos,pm2.5,47.0625,0.0,0.0
1511,2021-11-10,01061D,MVL,NP,Outdoor,Atmos,pm2.5,74.125,0.0,0.0
1513,2021-11-10,01061D,MVL,NP,Outdoor,Atmos,rh,71.02604166666667,1.0,0.0
1514,2021-11-10,01061D,MVL,NP,Outdoor,Atmos,temp,29.104166666666668,0.0,0.0
1527,2021-11-11,01001D,MVL,NP,Outdoor,Atmos,pm2.5,44.333333333333336,0.0,0.0
1529,2021-11-11,01001D,MVL,NP,Outdoor,Atmos,rh,80.253125,3.0,2.0
1530,2021-11-11,01001D,MVL,NP,Outdoor,Atmos,temp,28.85729166666667,0.0,0.0
1551,2021-11-11,01010D,MVL,NP,Outdoor,Atmos,pm2.5,35.916666666666664,0.0,0.0
1553,2021-11-11,01010D,MVL,NP,Outdoor,Atmos,rh,57.34583333333334,0.0,0.0
1554,2021-11-11,01010D,MVL,NP,Outdoor,Atmos,temp,32.37083333333334,0.0,0.0
1567,2021-11-11,01016D,MVL,NP,Outdoor,Atmos,pm2.5,42.875,0.0,4.0
1569,2021-11-11,01016D,MVL,NP,Outdoor,Atmos,rh,44.581250000000004,0.0,4.0
1570,2021-11-11,01016D,MVL,NP,Outdoor,Atmos,temp,36.87291666666667,0.0,4.0
1583,2021-11-11,01027D,MVL,NP,Outdoor,Atmos,pm2.5,39.4375,0.0,0.0
1585,2021-11-11,01027D,MVL,NP,Outdoor,Atmos,temp,30.243750000000002,0.0,0.0
1596,2021-11-11,01035D,MVL,NP,Outdoor,Atmos,pm2.5,41.104166666666664,0.0,0.0
1598,2021-11-11,01035D,MVL,NP,Outdoor,Atmos,rh,59.26458333333334,0.0,0.0
1599,2021-11-11,01035D,MVL,NP,Outdoor,Atmos,temp,31.864583333333332,0.0,0.0
1612,2021-11-11,01042D,MVL,NP,Outdoor,Atmos,pm2.5,38.354166666666664,0.0,0.0
1626,2021-11-11,01049D,MVL,NP,Outdoor,Atmos,pm2.5,38.25,0.0,0.0
1640,2021-11-11,01061D,MVL,NP,Outdoor,Atmos,pm2.5,53.28125,0.0,0.0
1642,2021-11-11,01061D,MVL,NP,Outdoor,Atmos,rh,61.759375000000006,0.0,0.0
1643,2021-11-11,01061D,MVL,NP,Outdoor,Atmos,temp,31.291666666666668,0.0,0.0
1656,2021-11-12,01001D,MVL,NP,Outdoor,Atmos,pm2.5,23.333333333333332,0.0,0.0
1658,2021-11-12,01001D,MVL,NP,Outdoor,Atmos,temp,30.255208333333332,0.0,0.0
1679,2021-11-12,01010D,MVL,NP,Outdoor,Atmos,pm2.5,20.333333333333332,0.0,0.0
1681,2021-11-12,01010D,MVL,NP,Outdoor,Atmos,rh,60.89166666666667,0.0,0.0
1682,2021-11-12,01010D,MVL,NP,Outdoor,Atmos,temp,32.78125,0.0,0.0
1703,2021-11-12,01027D,MVL,NP,Outdoor,Atmos,pm2.5,21.927083333333332,0.0,0.0
1705,2021-11-12,01027D,MVL,NP,Outdoor,Atmos,temp,31.481250000000003,0.0,0.0
1724,2021-11-12,01042D,MVL,NP,Outdoor,Atmos,pm2.5,18.822916666666668,0.0,0.0
1738,2021-11-12,01049D,MVL,NP,Outdoor,Atmos,pm2.5,26.25,0.0,0.0
1752,2021-11-12,01061D,MVL,NP,Outdoor,Atmos,pm2.5,30.604166666666668,0.0,0.0
1754,2021-11-12,01061D,MVL,NP,Outdoor,Atmos,rh,65.20208333333333,0.0,0.0
1755,2021-11-12,01061D,MVL,NP,Outdoor,Atmos,temp,32.19166666666667,0.0,0.0
1768,2021-11-13,01001D,MVL,NP,Outdoor,Atmos,pm2.5,25.989583333333332,2.0,0.0
1770,2021-11-13,01001D,MVL,NP,Outdoor,Atmos,rh,63.56041666666667,0.0,0.0
1771,2021-11-13,01001D,MVL,NP,Outdoor,Atmos,temp,34.932291666666664,0.0,0.0
1792,2021-11-13,01010D,MVL,NP,Outdoor,Atmos,pm2.5,21.291666666666668,3.0,2.0
1794,2021-11-13,01010D,MVL,NP,Outdoor,Atmos,rh,56.43020833333333,0.0,0.0
1795,2021-11-13,01010D,MVL,NP,Outdoor,Atmos,temp,35.6625,0.0,0.0
1816,2021-11-13,01027D,MVL,NP,Outdoor,Atmos,pm2.5,24.9375,4.0,2.0
1818,2021-11-13,01027D,MVL,NP,Outdoor,Atmos,temp,35.2875,0.0,0.0
1829,2021-11-13,01035D,MVL,NP,Outdoor,Atmos,pm2.5,26.895833333333332,2.0,0.0
1831,2021-11-13,01035D,MVL,NP,Outdoor,Atmos,rh,59.25,0.0,0.0
1832,2021-11-13,01035D,MVL,NP,Outdoor,Atmos,temp,34.828125,0.0,0.0
1845,2021-11-13,01042D,MVL,NP,Outdoor,Atmos,pm2.5,23.604166666666668,3.0,2.0
1859,2021-11-13,01049D,MVL,NP,Outdoor,Atmos,pm2.5,23.395833333333332,3.0,2.0
1873,2021-11-13,01061D,MVL,NP,Outdoor,Atmos,pm2.5,31.65625,0.0,0.0
1875,2021-11-13,01061D,MVL,NP,Outdoor,Atmos,rh,56.052083333333336,0.0,0.0
1876,2021-11-13,01061D,MVL,NP,Outdoor,Atmos,temp,35.85104166666667,0.0,0.0
1881,2021-11-14,01001D,MVL,NP,Outdoor,Atmos,pm2.5,12.885416666666666,0.0,0.0
1883,2021-11-14,01001D,MVL,NP,Outdoor,Atmos,rh,66.45937500000001,0.0,0.0
1884,2021-11-14,01001D,MVL,NP,Outdoor,Atmos,temp,34.706250000000004,0.0,0.0
1901,2021-11-14,01010D,MVL,NP,Outdoor,Atmos,pm2.5,9.03125,1.0,0.0
1903,2021-11-14,01010D,MVL,NP,Outdoor,Atmos,rh,57.23020833333334,0.0,0.0
1904,2021-11-14,01010D,MVL,NP,Outdoor,Atmos,temp,35.733333333333334,0.0,0.0
1925,2021-11-14,01027D,MVL,NP,Outdoor,Atmos,pm2.5,14.125,1.0,0.0
1927,2021-11-14,01027D,MVL,NP,Outdoor,Atmos,temp,35.609375,0.0,0.0
1938,2021-11-14,01035D,MVL,NP,Outdoor,Atmos,pm2.5,12.364583333333334,0.0,0.0
1940,2021-11-14,01035D,MVL,NP,Outdoor,Atmos,rh,59.26145833333334,0.0,0.0
1941,2021-11-14,01035D,MVL,NP,Outdoor,Atmos,temp,35.225,0.0,0.0
1954,2021-11-14,01042D,MVL,NP,Outdoor,Atmos,pm2.5,9.302083333333334,2.0,0.0
1968,2021-11-14,01049D,MVL,NP,Outdoor,Atmos,pm2.5,12.5,0.0,0.0
1982,2021-11-14,01061D,MVL,NP,Outdoor,Atmos,pm2.5,15.270833333333334,0.0,0.0
1984,2021-11-14,01061D,MVL,NP,Outdoor,Atmos,rh,56.37083333333334,0.0,0.0
